Permit Number,Status,Street Number,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Added Date,Issue Date,Final Date,Building Area,Declared Valuation,Description,Application Type,Work Type,Use Code,Pre-direction,Location
888854,Stop Work,,,,,,,,09/06/2019,10/17/2019,,2315,300000.00,"Customer Wants To Use ePlans,Langston 41LN Std Interior***eplans**** PURE MODEL",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
749080,Stop Work,,,,,,,,03/23/2016,04/12/2016,,0,0.00,"Customer Wants To Use ePlans,HOUSE TYPE NAME: REVERSE - CHAPEL HILL II

PURE MODEL",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
817623,Stop Work,,,,,,,,10/25/2017,10/31/2017,,316,6804.00,"Customer Wants To Use ePlans,INSTALLATION OF 18 SOLAR PANELS MOUNTED FLUSH TO ROOF.",BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,
767371,Stop Work,,,,,,,,08/09/2016,08/18/2016,,0,175000.00,"Customer Wants To Use ePlans,NEW PURE MODEL - REVERSE FLORENCE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
724218,Stop Work,,,,,,,,08/13/2015,11/19/2015,,0,0.00,"PURE MODEL 2015-JAMES MICHENER*

REVISION SUBMITTED TO UPLOAD REVERSE FLOOR PLAN DRAWINGS PER INSTRUCTION BY INSPECTOR*&nbsp; 2/3/16",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
644803,Stop Work,18370,CATTAIL,RD,,POOLESVILLE,MD,20837,08/07/2013,09/03/2013,06/13/2014,1973,200000.00,1&nbsp;Story Addition with Basement,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"18370 CATTAIL RD
POOLESVILLE, MD 20837
(39.158891, -77.388158)"
750491,Stop Work,,,,,,,,04/05/2016,04/27/2016,,0,0.00,"Customer Wants To Use ePlans,PURE MODEL NAME: REVERSE - AGATHA CHRISTI",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
622643,Stop Work,,,,,,,,01/07/2013,05/23/2013,,2640,95000.00,PURE MODEL:CANTWELL - 22' WIDE MODEL- &nbsp; New 2012 IRC,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
586802,Stop Work,,,,,,,,12/14/2011,01/12/2012,,4304,135000.00,Pure Model: Marquette,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
671811,Stop Work,5802,COPPELIA,DR,,ROCKVILLE,MD,20855,05/06/2014,05/06/2014,08/13/2014,436,15000.00,Screened Porch,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5802 COPPELIA DR
ROCKVILLE, MD 20855"
591648,Stop Work,,,,,,,,02/21/2012,03/27/2012,,4467,145000.00,Pure Model=Beaconfield,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
593852,Stop Work,,,,,,,,03/19/2012,04/27/2012,,5693,215000.00,pure model,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
597246,Stop Work,,,,,,,,04/25/2012,05/25/2012,,5475,145000.00,PURE MODEL: JOHN JACOB ASTOR,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
613959,Stop Work,,,,,,,,10/05/2012,12/14/2012,,5796,450000.00,2012 IRC PURE MODEL / MADISON MODEL,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
616330,Stop Work,,,,,,,,11/01/2012,12/07/2012,,3923,150000.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
619098,Stop Work,,,,,,,,11/27/2012,12/17/2012,,4415,145000.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
619686,Stop Work,,,,,,,,12/03/2012,01/24/2013,,2029,95000.00,PURE MODEL -&nbsp;2012 IRC - EDISON LAKE MODEL,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
624558,Stop Work,,,,,,,,01/28/2013,02/27/2013,,5086,0.00,Pure Model (42 Foot Wide Residence),BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
624649,Stop Work,,,,,,,,01/29/2013,02/22/2013,,3712,200000.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
632029,Stop Work,,,,,,,,04/18/2013,06/05/2013,,6851,257000.00,Pure model-Avalon,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
678667,Stop Work,,,,,,,,06/30/2014,08/01/2014,,3906,150000.00,PURE MODEL : HEBRON,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
726938,Stop Work,,,,,,,,09/02/2015,10/08/2015,,2847,300000.00,"Customer Wants To Use ePlans,22EB Pure Model 2015.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
723912,Stop Work,,,,,,,,08/11/2015,09/09/2015,,0,300000.00,2012 IRC PURE MODEL - CHEVY CHASE II MODEL,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
607633,Stop Work,,,,,,,,08/06/2012,09/13/2012,,4422,145000.00,PURE&nbsp; MODEL -&nbsp;YATES=2012,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
751714,Stop Work,,,,,,,,04/14/2016,05/02/2016,,5863,300000.00,"Customer Wants To Use ePlans,

PURE MODEL : Williamsport 2015",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
624140,Stop Work,,,,,,,,01/23/2013,02/14/2013,,1900,95000.00,"PURE MODEL:&nbsp; BEETHOVEN """"FTE"""" New Pure Model 2012",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
456458,Stop Work,23103,ROBERTS TAVERN,DR,,CLARKSBURG,MD,20871,06/13/2007,,,4077,200000.00,"Restricted Model-Unit 1, Front Garage",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"23103 ROBERTS TAVERN DR
CLARKSBURG, MD 20871
(39.23405, -77.27524)"
748927,Stop Work,,,,,,,,03/22/2016,04/07/2016,,0,0.00,"Customer Wants To Use ePlans,PURE MODEL NAME: REVERSE - EMPRESS II.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
248475,Stop Work,14308,AUTUMN CREST,RD,,BOYDS,MD,20841,05/18/2001,06/05/2001,09/25/2001,2178,135000.00,MODEL: BARRINGTON II,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14308 AUTUMN CREST RD
BOYDS, MD 20841
(39.167285, -77.302054)"
775732,Stop Work,,,,,,,,10/07/2016,11/05/2016,,0,175000.00,"Customer Wants To Use ePlans,New Pure Model: Reverse - Bridgewater",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
750899,Stop Work,14196,PLATINUM,DR,,GAITHERSBURG,MD,20878,04/08/2016,08/10/2016,,2882,95000.00,New Const.,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14196 PLATINUM DR
GAITHERSBURG, MD 20878
(39.088289, -77.219213)"
759563,Stop Work,179,KANDINSKY,LOOP,,SILVER SPRING,MD,20906,06/14/2016,06/24/2016,,1914,100000.00,"Customer Wants To Use ePlans,House type Change from Barton (709899) 4 story Comm. townhouse on permit # 753654 to Knox (730786) MPDU Glenmont MetroCenter.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"179 KANDINSKY LOOP
SILVER SPRING, MD 20906
(39.071104, -77.012079)"
821060,Stop Work,13705,PETREL,ST,,CLARKSBURG,MD,20871,11/29/2017,01/03/2018,06/28/2018,2529,300000.00,"Customer Wants To Use ePlans,Cabin Branch Lot 6Q Hadden 20EH",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"13705 PETREL ST
CLARKSBURG, MD 20871"
772294,Stop Work,,,,,,,,09/14/2016,10/11/2016,,0,0.00,"Customer Wants To Use ePlans,NEW PURE MODEL: REVERSE - STRATFORD HALL",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
748926,Stop Work,,,,,,,,03/22/2016,04/14/2016,,0,0.00,"Customer Wants To Use ePlans,PURE MODEL NAME: REVERSE - REMINGTON PLACE II..",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
472433,Stop Work,13912,DAIRY FARM,DR,,BOYDS,MD,20841,11/29/2007,,,7052,250000.00,MODEL: OAKTON (refer back #421145) Lot #9,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13912 DAIRY FARM DR
BOYDS, MD 20841
(39.164501, -77.290003)"
719048,Stop Work,,,,,,,,07/02/2015,12/28/2015,,0,0.00,"2015 IRC PURE MODEL=EMPRESS II*****

1/27/16 - REVISION TO STRUCTURAL ON PURE MODEL.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
773786,Stop Work,16100,GERMANTOWN,RD,,GERMANTOWN,MD,20874,09/25/2016,09/30/2016,,765,39000.00,"Customer Wants To Use ePlans,Install 51 ground mounted pv solar panels. 13.26KW",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,MISCELLANEOUS STRUCTURE,,"16100 GERMANTOWN RD
GERMANTOWN, MD 20874
(39.120989, -77.294989)"
869173,Stop Work,15670,TROLLEY,LN,,SILVER SPRING,MD,20906,03/15/2019,04/29/2019,08/21/2019,2162,121000.00,"Customer Wants To Use ePlans,Build TH",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"15670 TROLLEY LN
SILVER SPRING, MD 20906"
824836,Stop Work,5615,RIDGEFIELD,RD,,BETHESDA,MD,20816,01/12/2018,01/12/2018,,506,20000.00,INSTALLING ROOF OVER OPEN AIR SHADE ACCESSORY STRUCTURE.,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"5615 RIDGEFIELD RD
BETHESDA, MD 20816
(38.96946, -77.114207)"
766650,Stop Work,,,,,,,,08/03/2016,09/28/2016,,0,0.00,2015 PURE MODEL / 297-UNIT C,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
749268,Stop Work,13801,TRIBUTE,PKWY,,CLARKSBURG,MD,20871,03/24/2016,04/18/2016,10/05/2016,5745,300000.00,"Customer Wants To Use ePlans,Lot 16L Chicago Cabin Branch",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13801 TRIBUTE PKWY
CLARKSBURG, MD 20871
(39.222029, -77.287915)"
209687,Stop Work,4922,REDFORD,RD,,BETHESDA,MD,20816,01/14/2000,,,320,50000.00,,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4922 REDFORD RD
BETHESDA, MD 20816
(38.960258, -77.09968)"
780946,Stop Work,16603,HEARTWOOD,DR,,ROCKVILLE,MD,20855,11/17/2016,01/05/2017,04/21/2017,2030,159000.00,"New Single Family Dwelling - refer back Chatham 729191

*AO APPLICATION*",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"16603 HEARTWOOD DR
ROCKVILLE, MD 20855
(39.128422, -77.1153)"
827806,Stop Work,1736,WHITEHALL,DR,,SILVER SPRING,MD,20904,02/14/2018,07/11/2018,11/08/2018,1920,85000.00,"Customer Wants To Use ePlans,MPDU,
WHITE OAK,
LOT 148, BLOCK A,
BEETHOVEN",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"1736 WHITEHALL DR
SILVER SPRING, MD 20904
(39.041328, -76.975437)"
456183,Stop Work,13313,LATROBE,LN,,CLARKSBURG,MD,20871,06/11/2007,,,4077,200000.00,Wants this house to be a Refer Back,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13313 LATROBE LN
CLARKSBURG, MD 20871
(39.234823, -77.276489)"
775730,Stop Work,,,,,,,,10/07/2016,10/27/2016,,0,175000.00,"Customer Wants To Use ePlans,New Pure Model: Bridgewater",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
827664,Stop Work,14016,STILT,ST,,CLARKSBURG,MD,20871,02/12/2018,03/06/2018,07/17/2018,4194,300000.00,"Customer Wants To Use ePlans,Cabin Branch lot 48X Lexington",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14016 STILT ST
CLARKSBURG, MD 20871
(39.218617, -77.291084)"
729196,Stop Work,,,,,,,,09/21/2015,10/30/2015,,7346,159000.00,Pure Model 2015 Update-Sudbury 737,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
759206,Stop Work,117,CASTLE OAK,CT,,CLARKSBURG,MD,20871,06/10/2016,07/18/2016,12/14/2016,6730,175000.00,Lot: 140 Block: KK Subdivision: Clarksburg Village House Type: Chapel Hill II ***,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"117 CASTLE OAK CT
CLARKSBURG, MD 20871"
758714,Stop Work,22215,FLYCATCHER,ST,,CLARKSBURG,MD,20871,06/07/2016,07/11/2016,11/29/2016,4376,300000.00,"Customer Wants To Use ePlans,Lot 17I Cabin Branch Austin",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"22215 FLYCATCHER ST
CLARKSBURG, MD 20871"
728415,Stop Work,12743,LONGFORD GLEN,DR,,GERMANTOWN,MD,20874,09/15/2015,10/02/2015,03/14/2016,1445,90000.00,Model: Oakland,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"12743 LONGFORD GLEN DR
GERMANTOWN, MD 20874"
771504,Stop Work,,,,,,,,09/09/2016,11/22/2016,,3239,250000.00,PURE MODEL: BETHESDA MEWS - MODEL G,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
799290,Stop Work,13650,HARRIER,WAY,,CLARKSBURG,MD,20871,05/15/2017,01/24/2018,06/15/2018,2772,95000.00,"Customer Wants To Use ePlans,LOT: 62
BLOCK: T
SUBDIVISION: CABIN BRANCH
HOUSE TYPE: McPHERSON",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"13650 HARRIER WAY
CLARKSBURG, MD 20871
(39.21874, -77.285236)"
811503,Stop Work,1024,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,08/28/2017,10/04/2017,03/30/2018,4239,178000.00,MODEL: AMY (M264) REVERSE - ELEVATION B (Refer Back #734250),BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"1024 BRIGGS CHANEY RD
SILVER SPRING, MD 20905
(39.105747, -76.991197)"
270042,Stop Work,9825,OLD GEORGETOWN,RD,,BETHESDA,MD,20814,02/21/2002,02/22/2002,,650,4500.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,DECK,,"9825 OLD GEORGETOWN RD
BETHESDA, MD 20814
(39.017956, -77.120384)"
850423,Stop Work,2013,GRACE CHURCH,RD,,SILVER SPRING,MD,20910,08/30/2018,08/30/2018,,456,10000.00,MIXED WORK TYPE  Addition 456 garage  Alteration 264 sq ftREVISION FOR NEW WORK NOT UNDER ORIGINAL PERMIT,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"2013 GRACE CHURCH RD
SILVER SPRING, MD 20910
(39.002002, -77.044179)"
765730,Stop Work,11868,PEPPERVINE,DR,,CLARKSBURG,MD,20871,07/28/2016,08/29/2016,12/23/2016,6822,175000.00,"Customer Wants To Use ePlans,LOT: 52 BLOCK: TT SUBDIVISION: CLARKSBURG VILLAGE HOUSE TYPE: REVERSE - REMMINGTON PLACE II.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"11868 PEPPERVINE DR
CLARKSBURG, MD 20871
(39.229488, -77.242224)"
822794,Stop Work,14614,BENTLEY PARK,DR,,BURTONSVILLE,MD,20866,12/15/2017,01/24/2018,07/17/2018,4405,175000.00,"Customer Wants To Use ePlans,LOT: 8
BLOCK: H
SUBDIVISION: BENTLEY PARK/FAIRLAND PARK
HOUSE TYPE: MILAN",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14614 BENTLEY PARK DR
BURTONSVILLE, MD 20866
(39.09631, -76.919899)"
221756,Stop Work,18264,WICKHAM,RD,,OLNEY,MD,20832,06/19/2000,06/19/2000,,736,15107.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,DECK,,"18264 WICKHAM RD
OLNEY, MD 20832
(39.155697, -77.097656)"
822796,Stop Work,140,LIMPKIN,AVE,,CLARKSBURG,MD,20871,12/15/2017,01/24/2018,06/27/2018,4359,175000.00,"Customer Wants To Use ePlans,LOT: 21
BLOCK: AJ
SUBDIVISION: CABIN BRANCH
HOUSE TYPE: REVERSE - SALINGER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"140 LIMPKIN AVE
CLARKSBURG, MD 20871"
244363,Stop Work,3,BLACK KETTLE,CT,,BOYDS,MD,20841,04/02/2001,05/14/2001,,5443,100000.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"3 BLACK KETTLE CT
BOYDS, MD 20841
(39.165169, -77.29582)"
215732,Stop Work,5313,SUNSET,LN,,CHEVY CHASE,MD,20815,04/06/2000,,,,,ATTACHED GARAGE,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5313 SUNSET LN
CHEVY CHASE, MD 20815
(38.972916, -77.108728)"
303767,Stop Work,7700,YELLOWSTONE,WAY,,ROCKVILLE,MD,20855,04/23/2003,,,1477,75000.00,Sunroom and attached garage,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"7700 YELLOWSTONE WAY
ROCKVILLE, MD 20855
(39.116879, -77.158834)"
825897,Stop Work,2511,SPENCER,RD,,SILVER SPRING,MD,20910,01/24/2018,01/25/2018,,147,1000.00,147 SQ FT INTERIOR ALTERATION,BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"2511 SPENCER RD
SILVER SPRING, MD 20910
(38.995107, -77.052538)"
730098,Stop Work,,,,,,,,09/28/2015,10/26/2015,,2772,175000.00,Pure model-Eplan,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
754948,Stop Work,,,,,,,,05/10/2016,06/07/2016,,1379,152000.00,2015 IRC PURE MODEL-UNIT A,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
262970,Stop Work,14403,BRIARWOOD,TER,,ROCKVILLE,MD,20853,11/08/2001,11/13/2001,,384,5000.00,revision-to permit 249248,BUILDING RESIDENTIAL PERMIT,ADD,SHED,,"14403 BRIARWOOD TER
ROCKVILLE, MD 20853
(39.092083, -77.09457)"
293634,Stop Work,5708,AVERY PARK,DR,,ROCKVILLE,MD,20855,12/03/2002,,,4989,700000.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"5708 AVERY PARK DR
ROCKVILLE, MD 20855
(39.124618, -77.117399)"
736835,Stop Work,19537,WOOTTON,AVE,,POOLESVILLE,MD,20837,11/19/2015,07/29/2016,12/23/2016,2288,100000.00,Lot 14. Construct 3 level townhome. Pure Model #732884 (Chandler II).,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"19537 WOOTTON AVE
POOLESVILLE, MD 20837
(39.142485, -77.406237)"
472430,Stop Work,13906,DAIRY FARM,DR,,BOYDS,MD,20841,11/29/2007,09/05/2008,,7052,250000.00,MODEL: OAKTON (refer back #421145) Lot #6,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13906 DAIRY FARM DR
BOYDS, MD 20841
(39.164253, -77.289452)"
730097,Stop Work,,,,,,,,09/28/2015,11/19/2015,,0,175000.00,Pure model-Eplan,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
235227,Stop Work,5412,GLENWOOD,RD,,BETHESDA,MD,20817,11/17/2000,11/20/2000,,144.75,5000.00,,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5412 GLENWOOD RD
BETHESDA, MD 20817
(38.994842, -77.110288)"
760246,Stop Work,,,,,,,,06/16/2016,06/23/2016,,2870,200000.00,"Customer Wants To Use ePlans,Finley II Pure Model Townhouse.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
772857,Stop Work,11422,NAIRN,RD,,SILVER SPRING,MD,20902,09/19/2016,08/04/2017,,5117,500000.00,"AO - new single family home, vacant lot - Requested Expedited review",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"11422 NAIRN RD
SILVER SPRING, MD 20902
(39.044915, -77.043234)"
244446,Stop Work,18609,BLACK KETTLE,DR,,BOYDS,MD,20841,04/03/2001,,,4284,100000.00,MODEL:  RICHMOND,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"18609 BLACK KETTLE DR
BOYDS, MD 20841
(39.165702, -77.295346)"
729203,Stop Work,,,,,,,,09/21/2015,10/30/2015,,1,159000.00,Pure Model 2015 Update-Stratford 746,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
728408,Stop Work,12814,SUTHERBY,LN,,GERMANTOWN,MD,20874,09/15/2015,12/08/2015,05/11/2016,1445,90000.00,Model: Oakland,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"12814 SUTHERBY LN
GERMANTOWN, MD 20874"
770311,Stop Work,,,,,,,,08/31/2016,09/15/2016,,0,0.00,"Customer Wants To Use ePlans,NEW HOUSE TYPE: REVERSE - VENICE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
