"permitno","status","stno","stname","suffix","postdir","city","state","zip","addeddate","issueddate","finaleddate","buildingarea","declaredvaluation","description","applicationtype","worktype","usecode","predir","location"
"532733","Finaled","9550","RIVER","RD",,"POTOMAC","MD","20854","2010-03-12T11:03:22.000","2010-11-29T09:11:00.000","2015-09-28T08:09:17.000","9864","3000000","Demolition/Rebuild *REVISION 10/12/11 Adding to Master bedroom &amp; Family room Bumpout : O/T**Revision issued on 10/26/11* **Revision 4/27/12 - Adding attached trash enclosure","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"9550 RIVER RD
POTOMAC, MD 20854
(39.011369, -77.198929)"
"538746","Finaled","9521","PURCELL","DR",,"POTOMAC","MD","20854","2010-05-24T02:05:03.000","2010-07-12T12:07:00.000","2013-06-05T08:06:48.000","380","250000","ADDITION: ONE STORY BREAKFAST ROOM, NEW WINDOW ON A EXISTING ROOM, RECONFIGURATION OF LAUNDRY ROOM, REPLACING GARAGE DOOR, MODIFY EXISTING DECK, ADDING ONE STORY STORAGE ARE TO GARAGE, REMODELING KITCHEN &amp; COVERED STOOP *Revision 7/12/10 - Add screened porch* **Revision 11/15/10 to enclose office below screened porch;RAM**3/23/2011 new fireplace on exhisting porch*** REVISION","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"9521 PURCELL DR
POTOMAC, MD 20854
(39.014063, -77.173111)"
"539148","Finaled","7001","GLENBROOK","RD",,"BETHESDA","MD","20814","2010-05-27T11:05:08.000","2010-07-28T03:07:00.000","2012-11-05T05:11:38.000","8000","400000","Demo/Rebuild** PERMIT EXTENDED 10-5-12 AS OF 4-5-12 SILVIA**&nbsp;

PERMIT EXTENDED TO 4/5/13","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"7001 GLENBROOK RD
BETHESDA, MD 20814
(38.979256, -77.105775)"
"539896","Finaled","18610","NEW HAMPSHIRE","AVE",,"ASHTON","MD","20861","2010-06-07T11:06:54.000","2011-06-27T11:06:00.000","2013-05-16T10:05:30.000","3800","200000","DEMO/REBUILD&nbsp; permit extended until 08/11/2013","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"18610 NEW HAMPSHIRE AVE
ASHTON, MD 20861
(39.162385, -77.014386)"
"539969","Issued","911","PROSPECT","ST",,"TAKOMA PARK","MD","20912","2010-06-08T07:06:36.000","2010-06-25T08:06:00.000",,"680","40000","Garage Addition &amp; Alteration EXTENSION / PERMIT EXTENDED FROM 12/25/11 to 06/25/12","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","GARAGE",,"911 PROSPECT ST
TAKOMA PARK, MD 20912
(38.989436, -76.998741)"
"540058","Finaled","15818","LAUGHLIN","LN",,"SILVER SPRING","MD","20906","2010-06-08T01:06:13.000","2010-08-26T01:08:00.000","2012-08-22T04:08:12.000","2500","50000","detached garage *Revision 11/17/10 - reframe garage floor, 1123 sq ft* Permit extended until March 26, 2012.&nbsp; PERMIT VALID UNTIL 8/8/2012.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","GARAGE",,"15818 LAUGHLIN LN
SILVER SPRING, MD 20906
(39.118056, -77.053067)"
"540176","Issued","7109","MILLWOOD","RD",,"BETHESDA","MD","20817","2010-06-09T11:06:28.000","2012-02-06T10:02:00.000",,"2373","250000","2nd Floor Addition&nbsp;","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"7109 MILLWOOD RD
BETHESDA, MD 20817
(38.981279, -77.12048)"
"540799","Finaled","10507","TULIP","LN",,"POTOMAC","MD","20854","2010-06-16T11:06:39.000","2010-12-21T09:12:00.000","2014-06-17T11:06:47.000","11503","500000","New Residential Construction&nbsp; Extended permit 04/21/2014","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"10507 TULIP LN
POTOMAC, MD 20854
(39.058477, -77.217954)"
"541079","Finaled","3311","DECATUR","AVE",,"KENSINGTON","MD","20895","2010-06-18T02:06:12.000","2013-04-09T02:04:26.000","2014-04-17T02:04:21.000","5250","320000","New Residential Construction&nbsp; Revision 01/17/2014 changing bedroom&nbsp;to a den","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"3311 DECATUR AVE
KENSINGTON, MD 20895
(39.034251, -77.067334)"
"542989","Issued","10501","TULIP","LN",,"POTOMAC","MD","20854","2010-07-08T10:07:16.000","2010-09-07T11:09:00.000",,"11053","500000","New Const.&nbsp;Extended 04/21/2014","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"10501 TULIP LN
POTOMAC, MD 20854
(39.058472, -77.217919)"
"545658","Finaled","9309","CRANFORD","DR",,"POTOMAC","MD","20854","2010-08-06T12:08:35.000","2010-08-25T02:08:00.000","2013-06-10T03:06:54.000","1349","180000","Second Story Addition and Deck&nbsp; permit extension 08/11/2013","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"9309 CRANFORD DR
POTOMAC, MD 20854
(39.036493, -77.192814)"
"548638","Issued","12504","ROLLING","RD",,"POTOMAC","MD","20854","2010-09-10T10:09:16.000","2010-09-17T10:09:00.000",,"172","200000","**Revision submitted 6/17/11;changing roof from dome roof to standard roof** **Approved reinstating permit and transfering to the owner's name. Also approved 6 month extension of permit**.&nbsp; Extended 6 months 03/13/2013","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"12504 ROLLING RD
POTOMAC, MD 20854
(39.061086, -77.220776)"
"551780","Finaled","10120","COUNSELMAN","RD",,"POTOMAC","MD","20854","2010-10-14T10:10:14.000","2011-05-24T02:05:00.000","2013-10-07T02:10:38.000","14029","1200000","demolition/rebuild 

Revision to add room over Garage and retaining wall with stairs 6/29/12 - cost $20,000 (emc)&nbsp; Extended until 10/29/13&nbsp;&nbsp; 2nd extension.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"10120 COUNSELMAN RD
POTOMAC, MD 20854
(39.022316, -77.204017)"
"555448","Finaled","12804","PENNY","LN",,"SILVER SPRING","MD","20904","2010-11-26T12:11:56.000","2010-11-26T12:11:00.000","2013-10-29T08:10:06.000","600","7000","refinish basement all interior work.&nbsp;","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"12804 PENNY LN
SILVER SPRING, MD 20904
(39.068265, -76.953585)"
"555802","Finaled","800","BURNT MILLS","AVE",,"SILVER SPRING","MD","20901","2010-12-01T01:12:26.000","2010-12-30T12:12:00.000","2013-04-18T03:04:33.000","264","40000","office and powder room&nbsp;","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"800 BURNT MILLS AVE
SILVER SPRING, MD 20901
(39.034661, -76.994573)"
"556866","Finaled","812","MIDLAND","RD",,"SILVER SPRING","MD","20904","2010-12-15T12:12:46.000","2011-01-07T01:01:33.000","2013-02-06T06:02:01.000","540","10000","Kitchen addition&nbsp;&nbsp; Permit extended 07/07/2013","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"812 MIDLAND RD
SILVER SPRING, MD 20904
(39.077487, -76.99343)"
"557232","Issued","5109","WISSIOMING","RD",,"BETHESDA","MD","20816","2010-12-21T08:12:24.000","2011-01-13T03:01:00.000",,"1610","100000","addition and alteration&nbsp; Permit extended for 6 months 05/13/2013","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"5109 WISSIOMING RD
BETHESDA, MD 20816
(38.95658, -77.126894)"
"562146","Finaled","8503","PIERCE POINT","CT",,"POTOMAC","MD","20854","2011-03-02T10:03:11.000","2011-03-02T12:03:00.000","2012-08-13T05:08:41.000","512","100000","inground pool with spa&nbsp; Permit extended until 02/13/2013","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SWIMMING POOL",,"8503 PIERCE POINT CT
POTOMAC, MD 20854
(38.996373, -77.192701)"
"563125","Finaled","4813","FALSTONE","AVE",,"CHEVY CHASE","MD","20815","2011-03-15T10:03:58.000","2011-04-11T12:04:00.000","2018-05-17T11:05:10.000","1056","290000","addition to sfd- 1 story addition with base, screen porch with base&nbsp; *Revision 7/19/12 - changing layout of addition*","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"4813 FALSTONE AVE
CHEVY CHASE, MD 20815
(38.966361, -77.098281)"
"563651","Issued","14200","CHELMSFORD","RD",,"ROCKVILLE","MD","20853","2011-03-21T11:03:16.000","2011-08-12T02:08:00.000",,"406","3000","Hot Tub &amp; 2-Sheds 12x16 &amp; 4x8

Extension Granted to 2/2/13","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SHED",,"14200 CHELMSFORD RD
ROCKVILLE, MD 20853
(39.089844, -77.082874)"
"565490","Finaled","9805","LOGAN","DR",,"POTOMAC","MD","20854","2011-04-11T03:04:21.000","2011-07-25T03:07:00.000","2014-11-25T08:11:10.000","12500","1250000","demolition/rebuild//REVISION 9/12/11 Architectural revision (ICFs)REVISION ISSUED ON 11/10/11 vgd//Structural revision submitted on 1/6/2012 - storage area.// Extension granted 1/24/13-New expiration date: 7/25/13 (Vivian)&nbsp;","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"9805 LOGAN DR
POTOMAC, MD 20854
(39.008187, -77.201814)"
"566623","Issued","5135","WISSIOMING","RD",,"BETHESDA","MD","20816","2011-04-25T10:04:53.000","2011-06-09T11:06:00.000",,"425","10000","CONSTRUCT DECK &amp; ADDING 2 DORMERS TO ATTIC&nbsp;&nbsp;","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"5135 WISSIOMING RD
BETHESDA, MD 20816
(38.958475, -77.127937)"
"566948","Finaled","10202","KENSINGTON","PKWY",,"KENSINGTON","MD","20895","2011-04-28T09:04:47.000","2011-05-27T11:05:00.000","2014-10-15T03:10:01.000","1806","200000","Addition to sfd

&nbsp;

*****REVISION TO PERMIT***7/02/2014 (issued the same day)","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"10202 KENSINGTON PKWY
KENSINGTON, MD 20895
(39.023501, -77.071858)"
"568832","Finaled","7005","GLENBROOK","RD",,"BETHESDA","MD","20814","2011-05-19T07:05:00.000","2011-06-02T02:06:00.000","2012-10-02T12:10:48.000","2455","100000","New pitched roof on existing flat membrane roof: 06-12-2012-Permit extended for&nbsp;six (6)&nbsp;months per customer's request and approval from Mr. Allen -New expiration date: 12-02-2012","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"7005 GLENBROOK RD
BETHESDA, MD 20814
(38.979796, -77.106023)"
"570909","Finaled","4504","DALTON","RD",,"CHEVY CHASE","MD","20815","2011-06-10T11:06:49.000","2011-08-12T09:08:00.000","2013-10-23T06:10:27.000","230","135000","addition to sfd&nbsp;&nbsp;&nbsp; Revision 04/24/2013 Structural

Extension Granted","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"4504 DALTON RD
CHEVY CHASE, MD 20815
(38.958923, -77.090501)"
"571175","Issued","905","EDNOR","RD",,"SILVER SPRING","MD","20905","2011-06-14T08:06:31.000","2012-02-24T08:02:00.000",,"11239","300000","Rebuild/demolition of single family dwelling&gt; THE TOTAL SQUARE FOOTAGE IS 11,239.00 SQ. FT. ALLI OSENI, C.B.O.10/21/11 **REVISION** 3/23/12 Excavating the existing crawls spaces to add ***REVISION--7/23/12 - Finish Basement and new Deck with Gazebo*","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"905 EDNOR RD
SILVER SPRING, MD 20905
(39.136305, -76.994152)"
"572275","Finaled","12521","GREY FOX","LN",,"POTOMAC","MD","20854","2011-06-24T08:06:09.000","2011-06-27T08:06:00.000","2013-02-01T02:02:25.000","400","65000","ADDING SECOND FLOOR ADDITION Revision 04/23/2012 Structural&nbsp;","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"12521 GREY FOX LN
POTOMAC, MD 20854
(39.06069, -77.210835)"
"572938","Issued","10701","ST PAUL","ST",,"KENSINGTON","MD","20895","2011-06-30T10:06:39.000","2011-11-09T08:11:00.000",,"1800","38000","INTERIOR ALTERATIONS TO EXISTING SFD -

&nbsp;","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"10701 ST PAUL ST
KENSINGTON, MD 20895"
"573390","Issued","10021","BENTCROSS","DR",,"POTOMAC","MD","20854","2011-07-06T01:07:31.000","2011-07-06T02:07:00.000",,"1080","90000","alter kitchen and steam shower and theater room **Revision submitted for adding fencing &amp; gates;$40,000 const.cost;RAM**; 04-02-2012 - customer submitting drawings for kitchen: (JR","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"10021 BENTCROSS DR
POTOMAC, MD 20854
(39.019972, -77.193047)"
"573880","Finaled","13505","MAIDSTONE","LN",,"POTOMAC","MD","20854","2011-07-11T03:07:49.000","2011-12-12T01:12:00.000","2013-10-10T03:10:29.000","8244","780000","New Residential Construction, Single Family Dwelling **REVISION** 5/3/12 Structural &amp; Architectual (LW) Revision issued on 5/22/2012","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"13505 MAIDSTONE LN
POTOMAC, MD 20854
(39.059179, -77.282294)"
"574391","Issued","12216","BROOKHAVEN","DR",,"SILVER SPRING","MD","20902","2011-07-15T10:07:16.000","2011-10-11T10:10:00.000",,"1976","200000","repairing roof, windows REVISION - 10/11/11 - TO CHANGE THE APPLICANT FROM R&amp;A CONSTRUCTION PER LETTER","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","SINGLE FAMILY DWELLING",,"12216 BROOKHAVEN DR
SILVER SPRING, MD 20902
(39.056263, -77.016774)"
"574402","Issued","10500","BEECHKNOLL","LN",,"POTOMAC","MD","20854","2011-07-15T10:07:48.000","2011-07-15T12:07:00.000",,"154","4500","porch &amp; roof","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"10500 BEECHKNOLL LN
POTOMAC, MD 20854
(39.07828, -77.2158)"
"574767","Finaled","7204","WILLOW","AVE",,"TAKOMA PARK","MD","20912","2011-07-19T02:07:07.000","2011-08-03T01:08:00.000","2012-10-08T02:10:10.000","812","60000","ADDITION *REVISION* 2/14/12 Alter exterior &amp; stairway Sq Ft 36 (LW)","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"7204 WILLOW AVE
TAKOMA PARK, MD 20912
(38.976618, -77.011793)"
"575664","Finaled","10216","IRON GATE","RD",,"POTOMAC","MD","20854","2011-07-28T10:07:50.000","2011-07-28T11:07:00.000","2013-11-05T10:11:37.000","546","30000","indoor swimming pool&nbsp; Extend Permit 09/10/2013 to 03/10/2014","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SWIMMING POOL",,"10216 IRON GATE RD
POTOMAC, MD 20854
(39.024785, -77.196877)"
"577440","Issued","3718","MUNSEY","ST",,"SILVER SPRING","MD","20906","2011-08-18T07:08:41.000","2011-12-27T09:12:00.000",,"2400","300000","New single family dwelling ** Revision-elevation, first and second floor 5/9/2012&nbsp;

&nbsp;Revision on 01/23/2014&nbsp; finishing basement","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"3718 MUNSEY ST
SILVER SPRING, MD 20906
(39.071074, -77.07506)"
"577442","Finaled","8911","BURNING TREE","RD",,"BETHESDA","MD","20817","2011-08-18T08:08:31.000","2011-09-02T12:09:00.000","2012-10-26T07:10:48.000","1400","150000","master bedroom addition &amp; renovation","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"8911 BURNING TREE RD
BETHESDA, MD 20817
(39.001838, -77.137404)"
"577653","Issued","6027","BROAD","ST",,"BETHESDA","MD","20816","2011-08-19T02:08:26.000","2011-08-30T03:08:00.000",,"151.75","3500","restore &amp; repair deck","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","SINGLE FAMILY DWELLING",,"6027 BROAD ST
BETHESDA, MD 20816
(38.939657, -77.118763)"
"577701","Finaled","3405","SPRING CLUB","PL",,"SILVER SPRING","MD","20904","2011-08-22T10:08:52.000","2012-01-03T02:01:00.000","2012-08-23T02:08:34.000","2160","100000","Referback : Alexandria Model&nbsp;&nbsp; *****REVISION******","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"3405 SPRING CLUB PL
SILVER SPRING, MD 20904
(39.085618, -76.939817)"
"579258","Issued","5415","MOHICAN","RD",,"BETHESDA","MD","20816","2011-09-08T01:09:43.000","2011-11-16T03:11:00.000",,"3000","100000","Basement and Attic **REVISION ADDING KITCHEN &amp; GARAGE CUSTOMER STATED WILL DEGROUCHY INSTRUCTED FOR REVISION TO BE ON ONE PERMIT ONLY 12-9-11**","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"5415 MOHICAN RD
BETHESDA, MD 20816
(38.961364, -77.131335)"
"579927","Issued","8852","BELMART","RD",,"POTOMAC","MD","20854","2011-09-16T12:09:10.000","2011-09-28T12:09:00.000",,"1452","120000","ONE STORY ADDITION******REVISION&nbsp; 08/17/2012******** PERMIT VALID&nbsp; UNTIL 1/11/2013. With approvals good through 5/11/13","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"8852 BELMART RD
POTOMAC, MD 20854
(38.999664, -77.231639)"
"580490","Issued","20714","SLIDELL","RD",,"BOYDS","MD","20841","2011-09-23T03:09:16.000","2011-09-23T03:09:00.000",,"0","0","for final only permit. Refer to permit number 508301

As of 1/10/13: Applicant must apply for final only permit from original building permit (#421914) and provide certified statements of final inspection since this permit is more than 2 code cycles old (2003 IRC).&nbsp; Issued Notice of Violation for not receiveing final inspection and letting permit expire.","BUILDING RESIDENTIAL PERMIT","FINAL ONLY AP","SINGLE FAMILY DWELLING",,"20714 SLIDELL RD
BOYDS, MD 20841
(39.196567, -77.325946)"
"580528","Finaled","5300","FALMOUTH","RD",,"BETHESDA","MD","20816","2011-09-26T09:09:15.000","2011-10-13T01:10:00.000","2013-03-20T06:03:15.000","274","125000","2nd story addition&nbsp; REVISION 09/06/2012 Structural","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"5300 FALMOUTH RD
BETHESDA, MD 20816
(38.952062, -77.106702)"
